character_name,book_id,book_name,cluster_label,prototype_name,avg_sentence_len,question_ratio,exclamation_ratio,slang_ratio,emotion_level,pca_x,pca_y
她低声,d648dde186491555,御灵：开局觉灵圣翼天使,2,睿智型,14.7,0.0252,0.0,0.0126,0.0063,-13.922410291785065,-0.006910887487014988
后轻松的,d648dde186491555,御灵：开局觉灵圣翼天使,2,睿智型,15.83,0.0057,0.0076,0.0019,0.0019,-12.792409341604174,-7.025779365830986e-05
恶魔轻声,d648dde186491555,御灵：开局觉灵圣翼天使,2,睿智型,14.2,0.0119,0.0046,0.0037,0.0027,-14.422409524387751,-0.003056829371551944
瞳似乎在,d648dde186491555,御灵：开局觉灵圣翼天使,2,睿智型,18.23,0.0096,0.0067,0.0029,0.0019,-10.392409645560633,-0.000461250004847558
时黎久还,d648dde186491555,御灵：开局觉灵圣翼天使,2,睿智型,16.68,0.013,0.0026,0.0026,0.0017,-11.942409360627309,-0.004684156100237867
黎久继续,d648dde186491555,御灵：开局觉灵圣翼天使,2,睿智型,14.6,0.0121,0.0,0.0,0.0,-14.022408815376659,-0.00770464787052495
边的羽光,d648dde186491555,御灵：开局觉灵圣翼天使,2,睿智型,17.58,0.0094,0.0094,0.0,0.0,-11.042409968583911,0.002043126855421287
他轻声的,d648dde186491555,御灵：开局觉灵圣翼天使,2,睿智型,18.61,0.0073,0.0163,0.0,0.0009,-10.012410805098956,0.009043132392649058
玉娇羞的,d648dde186491555,御灵：开局觉灵圣翼天使,7,温柔型,22.36,0.0059,0.0148,0.001,0.0,-6.262410481637708,0.008052477196035721
里的黎久,d648dde186491555,御灵：开局觉灵圣翼天使,2,睿智型,15.27,0.0069,0.0108,0.0049,0.0029,-13.352409946209452,0.0031492494770112706
黎久身边,d648dde186491555,御灵：开局觉灵圣翼天使,2,睿智型,17.77,0.0071,0.0071,0.0024,0.0032,-10.852409472306224,-0.00018936344897220285
似乎是在,d648dde186491555,御灵：开局觉灵圣翼天使,2,睿智型,21.53,0.0057,0.0057,0.0,0.0014,-7.092409144699069,-0.0011476821613374405
她继续,d648dde186491555,御灵：开局觉灵圣翼天使,2,睿智型,17.18,0.0088,0.0123,0.0,0.0,-11.442410326683117,0.004859481395361347
笑盈盈的,d648dde186491555,御灵：开局觉灵圣翼天使,2,睿智型,21.36,0.008,0.0,0.0,0.012,-7.262408785203782,-0.006515819038240488
她柔声,d648dde186491555,御灵：开局觉灵圣翼天使,2,睿智型,17.38,0.0138,0.0069,0.003,0.001,-11.242410068450361,-0.0002683691958022538
婉兴奋地,d648dde186491555,御灵：开局觉灵圣翼天使,2,睿智型,15.82,0.0095,0.0114,0.0029,0.0,-12.80241024223713,0.003818343481447703
颤巍巍的,d648dde186491555,御灵：开局觉灵圣翼天使,7,温柔型,24.38,0.0067,0.001,0.0038,0.0,-4.242408568386576,-0.005364162632919276
他颤抖的,d648dde186491555,御灵：开局觉灵圣翼天使,2,睿智型,15.5,0.0072,0.0036,0.0024,0.0,-13.122408857611683,-0.004107150523310227
耳边低声,d648dde186491555,御灵：开局觉灵圣翼天使,7,温柔型,22.74,0.0049,0.0031,0.0037,0.0012,-5.882408694392883,-0.003545189979991299
久淡定的,d648dde186491555,御灵：开局觉灵圣翼天使,7,温柔型,22.44,0.007,0.007,0.0047,0.007,-6.182409610082015,0.0005402998367393611
柔声,d648dde186491555,御灵：开局觉灵圣翼天使,2,睿智型,17.75,0.0087,0.0061,0.0026,0.0009,-10.87240943489827,-0.0011934984720390045
婉温柔的,d648dde186491555,御灵：开局觉灵圣翼天使,7,温柔型,22.31,0.0059,0.0093,0.0017,0.0017,-6.31240971232975,0.0026037546810540116
向着黎久,d648dde186491555,御灵：开局觉灵圣翼天使,2,睿智型,19.91,0.0079,0.0108,0.0029,0.0,-8.71241005744633,0.003780948702487432
淡淡,d648dde186491555,御灵：开局觉灵圣翼天使,2,睿智型,20.43,0.0075,0.0059,0.0025,0.0025,-8.192409363844565,-0.0009902840838948747
喘吁吁的,d648dde186491555,御灵：开局觉灵圣翼天使,7,温柔型,22.52,0.0026,0.0098,0.0007,0.0007,-6.102409430050347,0.0029832121530088667
兴奋的,d648dde186491555,御灵：开局觉灵圣翼天使,2,睿智型,16.48,0.0127,0.0102,0.0025,0.0013,-12.142410433399075,0.002856178301094645
对着王斌,d648dde186491555,御灵：开局觉灵圣翼天使,2,睿智型,13.65,0.0167,0.0368,0.0,0.0033,-14.97241474837316,0.029157012091450555
对着原配,d648dde186491555,御灵：开局觉灵圣翼天使,2,睿智型,21.0,0.0088,0.0177,0.0044,0.0,-7.6224111791471465,0.010889208921078575
久微笑的,d648dde186491555,御灵：开局觉灵圣翼天使,2,睿智型,14.0,0.0,0.0296,0.0,0.0178,-14.622412330175303,0.021822128496036982
王斌连忙,d648dde186491555,御灵：开局觉灵圣翼天使,7,温柔型,24.0,0.0104,0.0062,0.0021,0.0062,-4.622409847530058,3.636889311707178e-05
笑嘻嘻的,d648dde186491555,御灵：开局觉灵圣翼天使,2,睿智型,18.83,0.02,0.0025,0.0067,0.005,-9.792410168828727,-0.004081105195751349
低声,d648dde186491555,御灵：开局觉灵圣翼天使,7,温柔型,23.46,0.0067,0.005,0.0101,0.0042,-5.1624092345835315,-0.0013135537268401647
黎久淡然,d648dde186491555,御灵：开局觉灵圣翼天使,2,睿智型,21.6,0.0174,0.0,0.0,0.0087,-7.022409671085249,-0.0062445530287408
气呼呼的,d648dde186491555,御灵：开局觉灵圣翼天使,7,温柔型,23.85,0.0058,0.0072,0.0029,0.0,-4.7724093787808926,0.0007069242609183887
指着远处,d648dde186491555,御灵：开局觉灵圣翼天使,7,温柔型,26.22,0.0029,0.0068,0.0029,0.0,-2.402409062861498,0.000565780103581829
后谨慎的,d648dde186491555,御灵：开局觉灵圣翼天使,2,睿智型,20.29,0.0066,0.0132,0.0,0.0066,-8.332410437956185,0.00632266001519401
他连忙,d648dde186491555,御灵：开局觉灵圣翼天使,2,睿智型,18.02,0.0122,0.0152,0.003,0.002,-10.602411157474886,0.00809105539446427
岔开心神,d648dde186491555,御灵：开局觉灵圣翼天使,2,睿智型,21.66,0.0034,0.0067,0.0022,0.0034,-6.962409104252615,-0.00012618084178239557
黎久偷偷,d648dde186491555,御灵：开局觉灵圣翼天使,2,睿智型,20.66,0.0095,0.0087,0.0024,0.0,-7.962409924724696,0.0018438692342449669
螓首柔声,d648dde186491555,御灵：开局觉灵圣翼天使,2,睿智型,21.18,0.0039,0.0039,0.0039,0.0,-7.442408656627894,-0.0030434600644584416
轻声,d648dde186491555,御灵：开局觉灵圣翼天使,2,睿智型,17.27,0.0089,0.008,0.0036,0.0036,-11.352409788464378,0.0007221837760875531
支吾吾的,d648dde186491555,御灵：开局觉灵圣翼天使,7,温柔型,22.53,0.0098,0.0073,0.0,0.0024,-6.092409837072619,0.0007669054490656128
处的两女,d648dde186491555,御灵：开局觉灵圣翼天使,2,睿智型,16.5,0.0367,0.0092,0.0,0.0092,-12.122412918436478,0.002847806043526151
大声,d648dde186491555,御灵：开局觉灵圣翼天使,2,睿智型,20.96,0.0105,0.0057,0.0049,0.0024,-7.66240964534542,-0.0009782096684472202
连忙摆手,d648dde186491555,御灵：开局觉灵圣翼天使,2,睿智型,21.16,0.0052,0.0026,0.0009,0.0,-7.462408599634909,-0.004341346072082124
秘兮兮的,d648dde186491555,御灵：开局觉灵圣翼天使,2,睿智型,21.59,0.0077,0.0088,0.0011,0.0033,-7.032409848160615,0.0020902221186630994
儿谨慎的,d648dde186491555,御灵：开局觉灵圣翼天使,0,冰山型,33.3,0.0057,0.0057,0.0029,0.0,4.677590698131279,0.0006294703945021671
久郑重的,d648dde186491555,御灵：开局觉灵圣翼天使,2,睿智型,21.67,0.0145,0.0072,0.0,0.0,-6.952410232032914,0.0006355731948062653
老师慢慢,d648dde186491555,御灵：开局觉灵圣翼天使,7,温柔型,22.72,0.0058,0.0094,0.0007,0.0022,-5.9024097356098295,0.0027614589749996813
黎久连忙,d648dde186491555,御灵：开局觉灵圣翼天使,2,睿智型,18.25,0.0043,0.0102,0.0026,0.0034,-10.372409654271301,0.0028923506630399737
耳边轻声,d648dde186491555,御灵：开局觉灵圣翼天使,2,睿智型,20.24,0.0086,0.0094,0.0039,0.0008,-8.382409946623575,0.0024900647982417073
求似乎在,d648dde186491555,御灵：开局觉灵圣翼天使,2,睿智型,13.93,0.0181,0.0159,0.0023,0.0,-14.69241174942761,0.008313799843936629
如实,d648dde186491555,御灵：开局觉灵圣翼天使,2,睿智型,16.03,0.0111,0.0232,0.0009,0.0009,-12.5924121632025,0.01568889071418469
黎久淡淡,d648dde186491555,御灵：开局觉灵圣翼天使,2,睿智型,17.58,0.0159,0.0067,0.0025,0.0,-11.042410233559657,-0.00039902256923310744
慢悠悠,d648dde186491555,御灵：开局觉灵圣翼天使,2,睿智型,17.17,0.0152,0.0083,0.0023,0.0008,-11.45241040908262,0.001131661403427544
跟黑长直,d648dde186491555,御灵：开局觉灵圣翼天使,2,睿智型,17.24,0.0202,0.006,0.0052,0.0,-11.382410562222361,-0.000966675727387848
面对心魔,d648dde186491555,御灵：开局觉灵圣翼天使,2,睿智型,20.61,0.0089,0.0105,0.0024,0.0,-8.012410127008799,0.0036140858026833464
向樱若雪,d648dde186491555,御灵：开局觉灵圣翼天使,2,睿智型,21.32,0.0056,0.0112,0.0042,0.0014,-7.302409936292243,0.004368378832324164
甄猛淡淡,d648dde186491555,御灵：开局觉灵圣翼天使,2,睿智型,14.75,0.0157,0.0157,0.0,0.0,-13.872411489935162,0.008124827671551312
久淡淡的,d648dde186491555,御灵：开局觉灵圣翼天使,7,温柔型,22.24,0.0113,0.0062,0.0021,0.0021,-6.382409815701983,-0.0003040210543288485
鼓掌大声,d648dde186491555,御灵：开局觉灵圣翼天使,2,睿智型,18.33,0.0112,0.0056,0.0028,0.0028,-10.292409669733978,-0.0014687023305511183
紧锁低声,d648dde186491555,御灵：开局觉灵圣翼天使,7,温柔型,26.57,0.0101,0.0067,0.0007,0.0007,-2.0524098054230393,0.000752288519286326
